x,y,theta,stamp_ns
0.8063138723373413,0.7508159279823303,0.9170579329852858,1761334165764429414
0.8105249404907227,0.7565867900848389,0.9166350336575615,1761334165862964453
0.8143799304962158,0.7615660429000854,0.9161211449959511,1761334165953046121
0.8184386491775513,0.766997218132019,0.9155587584690725,1761334166053962315
0.8225302696228027,0.7722396850585938,0.9159724440948783,1761334166151888510
0.826784610748291,0.7776059508323669,0.9164923649726217,1761334166261967996
0.8304306864738464,0.7824543714523315,0.916773361925286,1761334166353968620
0.8343546986579895,0.7872471809387207,0.9163341820021089,1761334166454991420
0.8382267951965332,0.7925719618797302,0.9150790673801477,1761334166563445531
0.8418777585029602,0.7970961332321167,0.9140024168917398,1761334166660973773
0.8450452089309692,0.801484227180481,0.9136298027246436,1761334166753231533
0.8484834432601929,0.8058183789253235,0.9142740906359147,1761334166852974720
0.8520262241363525,0.8107349872589111,0.9148531681684425,1761334166963252783
0.8553436994552612,0.8147567510604858,0.9124321737890148,1761334167060982136
0.8580220341682434,0.8185111880302429,0.9121094067578156,1761334167152978877
0.8614206314086914,0.8227352499961853,0.9115288134403317,1761334167253027139
0.8648371696472168,0.8274001479148865,0.9138313097084774,1761334167362954664
0.8679420351982117,0.8309935927391052,0.9121107002491076,1761334167464983486
0.870295524597168,0.8344540596008301,0.9107654016018425,1761334167553128779
0.8734121918678284,0.8384276628494263,0.9128265308078969,1761334167653031926
0.8761457800865173,0.8416638374328613,0.911139976272915,1761334167750627151
0.8791868090629578,0.8458952903747559,0.9117664441150707,1761334167864446011
0.8818981051445007,0.8490355014801025,0.9102915482827798,1761334167953276319
0.8843300938606262,0.8525817394256592,0.910444316798894,1761334168052993487
0.8867765069007874,0.8556544780731201,0.9108023192028923,1761334168149505525
0.8897050023078918,0.8592517971992493,0.9089479024333906,1761334168263346465
0.8918495774269104,0.8621043562889099,0.9101051036900382,1761334168353222762
0.8942700028419495,0.8652195334434509,0.9088139740267969,1761334168452883024
0.8967026472091675,0.8683012127876282,0.9088141224135452,1761334168554525301
0.8992859721183777,0.8718599081039429,0.910742027227111,1761334168663034811
0.901201069355011,0.8741292357444763,0.9090868596695599,1761334168753117977
0.9034867882728577,0.8768934011459351,0.9090868596695599,1761334168853127041
0.9056179523468018,0.8800123333930969,0.9090868596695599,1761334168962812521
0.9078486561775208,0.8826151490211487,0.9100711256421252,1761334169063092837
0.9099379181861877,0.88511061668396,0.9091355371067616,1761334169152997061
0.911810576915741,0.8877456188201904,0.9075588386274562,1761334169249053023
